Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
1,1,2,0,1,9398,4717,352,240,1,2,1
1,1,3,1,0,3588,6121,140,180,1,0,0
1,1,0,1,0,14070,1200,67,240,1,0,1
0,1,0,0,0,4368,4409,198,180,1,1,1
0,1,1,1,1,7789,2854,276,120,0,2,0
0,0,0,0,1,2436,2895,263,240,1,2,0
0,0,2,1,0,4828,6240,409,240,1,2,0
0,0,0,0,0,3556,1236,200,240,1,1,1
0,0,1,1,1,9570,6972,241,180,1,0,1
0,1,3,1,1,14050,136,89,300,1,1,1
0,1,1,0,0,9480,1029,291,120,1,2,1
0,0,1,0,1,11496,2156,187,240,1,0,1
1,1,3,1,1,12576,2594,394,300,1,0,0
0,0,1,0,1,2182,661,229,120,1,1,1
1,1,1,0,1,9190,2472,249,120,1,0,1
1,0,0,0,0,8687,2677,252,240,1,0,1
1,1,0,0,1,7565,2308,110,240,1,2,1
0,1,3,1,1,9241,86,241,180,0,2,0
0,0,0,1,0,9651,2512,54,300,1,0,1
0,1,0,0,0,7575,6219,427,300,1,0,1
0,0,1,0,1,3589,6614,286,240,1,1,0
1,0,2,0,1,11779,6557,230,120,1,1,1
0,0,0,0,1,10851,6968,360,240,1,0,1
0,0,2,1,1,2159,2942,86,120,1,2,0
0,1,0,1,0,14145,2773,105,120,1,0,1
0,1,0,0,0,8555,2504,492,240,0,0,0
0,1,3,0,0,11203,5404,286,360,1,2,1
1,0,3,0,1,10244,3310,407,300,1,2,1
0,1,3,1,1,8846,1700,398,120,1,1,0
1,0,2,0,1,4307,3670,246,120,1,1,1
0,1,1,1,1,3228,2700,122,360,0,1,0
1,1,0,0,0,9226,6815,108,180,1,1,1
0,1,0,1,0,7590,3629,289,360,1,2,0
0,0,0,0,1,8919,4590,51,360,0,0,1
1,1,2,1,0,7585,1647,498,120,1,1,0
1,1,3,0,1,11227,6038,409,300,1,1,1
1,0,1,0,1,13894,5164,237,360,1,2,1
0,1,2,0,0,8046,5520,356,180,1,2,1
1,0,3,1,1,14237,3318,79,240,0,0,0
0,1,2,0,1,6945,3687,316,360,1,0,1
0,0,1,1,0,9927,596,157,360,1,2,1
1,0,3,1,1,14641,4545,381,180,1,1,0
1,1,2,0,1,9016,484,472,300,1,1,1
0,0,1,0,0,9758,645,139,360,1,1,1
0,0,0,0,1,7086,6763,254,360,1,0,1
1,0,1,1,0,11456,3089,428,300,1,1,0
1,0,0,0,1,9161,5725,496,180,1,1,1
1,0,2,1,0,3884,4757,497,360,1,2,0
0,0,3,1,0,3809,4853,494,300,1,1,0
0,1,3,0,0,5167,4384,430,360,1,2,1
0,0,2,0,1,13989,720,487,240,1,1,1
0,0,3,0,0,12533,4733,269,120,1,0,1
0,1,3,0,0,8352,6378,427,240,1,1,1
0,1,0,0,0,13606,6559,143,360,1,1,1
1,1,2,0,0,11009,498,152,180,1,2,1
0,1,1,1,0,8056,4729,272,120,1,2,0
0,1,0,1,1,4437,1673,235,240,1,2,1
0,1,2,1,1,8468,6126,233,300,1,1,1
1,1,0,0,1,11080,3067,211,180,0,1,1
0,0,1,1,1,7951,114,296,240,0,0,0
0,0,1,1,1,7276,2979,80,300,1,1,1
1,1,2,1,1,10859,4769,101,360,1,0,1
0,0,1,1,1,9818,1736,394,300,1,2,0
0,0,0,1,0,6728,5353,125,240,0,2,0
0,0,1,0,1,4624,3611,434,240,0,2,0
0,1,0,0,0,7738,2253,488,360,1,0,1
0,1,0,1,0,6232,2294,327,300,1,1,0
1,0,1,1,1,7793,3630,89,300,1,2,1
1,1,2,1,0,6523,6901,150,360,1,1,1
1,0,3,0,0,7571,146,160,300,1,1,1
0,0,1,0,0,11010,6261,434,360,1,2,1
0,0,0,1,0,12380,3982,370,180,1,0,0
0,0,0,0,1,11298,3453,298,240,0,1,0
1,1,1,0,1,4224,4507,240,180,1,2,1
0,1,2,1,1,10389,5783,231,120,1,1,1
0,1,2,0,1,12863,2410,475,120,1,1,1
1,0,0,0,1,8091,5628,454,120,1,1,1
0,1,0,1,1,13684,136,384,360,0,1,0
1,0,2,0,1,12640,3360,258,300,0,1,0
1,1,3,0,1,10662,3005,71,180,1,0,1
1,0,1,1,1,8361,3552,215,180,1,0,1
0,0,0,0,1,3948,18,148,180,0,2,0
0,0,0,0,0,14091,2242,257,180,1,0,1
0,1,2,1,1,12202,6473,57,120,1,0,1
0,1,1,1,0,13992,6055,239,180,0,0,0
0,1,2,1,0,9094,6318,224,300,1,1,1
0,1,1,0,0,8318,5097,322,120,1,1,1
0,0,1,1,0,14310,448,66,180,1,2,1
1,1,1,0,1,5796,1948,139,360,1,2,1
0,1,0,1,0,14180,945,190,240,1,2,1
1,0,3,0,1,2234,5473,194,240,0,1,0
0,0,2,1,1,11120,5618,215,240,1,0,1
0,0,3,1,0,5607,4236,386,120,1,0,0
0,1,2,1,1,10043,6901,127,180,1,1,1
1,0,1,1,0,2522,1920,478,120,0,2,0
1,0,0,0,0,7904,2977,311,300,0,2,0
1,0,3,1,1,13715,4188,212,360,0,2,0
1,1,0,1,1,14718,4015,415,360,0,1,0
0,0,2,0,0,6888,238,63,240,1,2,1
1,1,0,1,1,11821,204,288,240,1,2,0
0,1,0,0,1,7832,2607,121,240,1,1,1
0,0,3,1,1,14820,5552,494,180,1,0,0
1,0,1,1,0,9122,4340,192,300,1,1,1
1,1,0,1,0,7842,4927,359,300,0,1,0
1,0,1,0,1,3316,3388,332,300,1,1,0
1,0,2,1,1,13049,2972,318,300,1,1,0
1,1,0,1,1,3124,4390,290,240,1,0,0
1,1,3,1,1,7621,2687,464,360,1,2,0
1,0,2,0,1,7423,4951,294,240,1,1,1
1,1,2,0,0,4587,6160,212,300,1,0,1
0,0,3,1,1,11215,4166,109,240,1,2,1
1,0,0,0,0,7672,5388,55,300,1,2,1
1,0,0,1,1,3378,1348,246,120,1,2,0
0,1,2,1,0,5374,4400,107,360,1,1,1
1,0,0,1,1,3519,5126,354,120,0,1,0
0,0,1,1,0,7777,5433,456,180,1,2,0
0,0,3,1,1,9935,816,266,240,0,2,0
1,1,1,1,0,8093,5222,467,180,1,2,0
0,1,0,1,0,10418,820,75,240,1,2,1
0,1,2,0,0,7355,192,352,120,1,2,1
0,1,3,0,0,6968,1776,54,300,1,2,1
0,1,0,0,0,11083,3645,69,300,1,0,1
1,0,0,0,0,7574,4624,439,240,1,2,1
0,1,2,0,1,6072,6314,247,300,1,1,1
1,1,2,0,0,4257,250,108,120,1,1,1
0,1,1,0,1,12980,1788,497,300,1,1,1
0,0,3,1,1,10588,6684,291,120,1,2,0
0,1,3,1,1,12270,3700,195,180,1,1,1
0,1,2,1,1,14936,6122,437,120,1,0,0
1,0,1,1,1,6424,2463,322,360,1,2,0
1,1,3,0,0,5237,6937,298,360,1,1,1
0,0,2,0,0,5893,5499,63,360,0,0,1
0,0,0,1,0,4005,1167,62,240,0,0,0
1,0,3,1,1,4016,6168,440,240,0,1,0
0,0,1,0,0,13363,3893,433,240,1,0,1
0,0,1,1,0,12860,6811,93,120,1,1,1
0,1,1,1,0,12070,1096,424,240,1,0,0
1,0,0,1,0,11388,2679,448,180,1,2,0
1,0,3,1,0,3772,1847,68,360,1,2,0
1,1,3,0,1,10353,3904,112,120,1,2,1
0,0,0,1,0,5976,504,288,360,1,2,0
0,1,3,1,1,3751,1621,468,240,1,2,0
1,1,0,0,1,10967,6479,386,120,1,1,1
1,1,0,0,1,9430,2472,468,300,1,2,1
1,0,0,1,1,9170,2546,452,180,1,2,0
1,0,1,0,1,8469,1387,453,240,1,2,1
0,0,3,1,0,11131,2994,149,240,1,2,1
1,1,0,1,0,5220,6773,212,180,1,0,1
0,0,3,0,0,2539,3816,465,180,0,2,0
1,0,1,1,1,3461,5318,171,300,1,2,0
0,0,0,1,0,7184,717,481,240,1,1,0
1,1,2,1,0,10547,3484,93,240,1,0,1
1,1,1,1,1,13796,4434,409,360,1,1,0
1,0,2,0,1,13515,658,457,120,1,2,1
1,0,3,0,1,2234,5057,366,120,1,1,0
0,0,3,1,1,3548,4008,430,360,1,1,0
1,0,1,0,0,9480,4524,194,120,1,2,1
0,1,3,1,1,12288,4994,376,180,0,0,0
0,1,2,1,1,6213,4234,412,120,0,0,0
0,1,0,1,0,12293,3764,99,120,0,1,0
0,1,0,1,0,3673,2989,114,360,0,2,0
1,0,0,1,1,8708,4637,404,300,1,1,0
0,0,1,0,0,9982,2104,337,120,0,1,0
0,0,3,1,1,4100,1255,213,120,1,1,1
0,1,2,0,1,13849,6801,190,300,0,2,1
1,0,3,0,0,14845,2482,363,360,1,2,1
1,1,3,1,0,13788,383,177,300,0,0,0
1,1,3,1,1,5748,2607,447,360,1,2,0
1,0,0,1,1,5173,193,470,180,0,1,0
0,0,2,1,1,3815,3807,417,360,1,1,0
0,0,2,1,0,5841,3719,288,180,1,0,0
1,1,3,0,1,12197,2581,373,180,0,2,0
0,0,0,1,1,10016,2565,345,360,1,1,0
0,1,0,1,1,9011,2763,236,240,0,0,0
0,0,2,0,1,6493,2798,257,360,1,0,1
1,1,0,0,1,2674,6328,269,120,0,1,0
1,1,0,1,0,10088,5991,449,120,1,1,0
0,0,0,0,1,10578,2339,239,240,1,2,1
1,1,1,1,1,4158,3406,437,180,1,0,0
1,1,3,0,1,4661,731,478,240,1,1,1
1,0,2,0,1,4064,6259,395,120,1,0,1
1,1,2,1,0,14043,2872,333,240,0,2,0
1,0,1,0,0,5253,3120,401,360,1,1,1
0,1,3,0,0,6979,4780,286,240,1,2,1
1,0,2,0,1,9703,4177,243,180,0,0,1
0,0,0,0,1,14828,6977,336,360,0,2,0
0,1,2,0,0,14458,6476,308,300,0,2,0
1,1,0,0,0,10931,2604,295,120,1,0,1
0,1,1,1,0,3401,2382,185,120,1,2,0
0,1,0,1,1,5259,531,329,240,0,0,0
0,1,2,0,1,12469,6079,320,360,1,1,1
1,0,2,1,0,14096,4316,220,300,1,0,1
1,1,2,1,0,5923,634,208,360,1,0,1
0,0,1,1,0,6214,1769,250,120,1,1,0
1,0,1,0,1,5227,3804,94,360,1,0,1
1,1,3,1,1,13023,2370,499,300,1,1,0
1,0,2,0,1,13950,5970,313,240,1,1,1
1,0,0,1,0,12704,2,120,180,1,0,1
0,0,1,0,0,12343,5813,413,360,0,2,0
0,0,2,0,1,13867,205,420,180,1,2,1
1,1,2,1,0,4745,5951,152,120,1,1,1
1,0,1,1,1,8091,4135,174,240,1,2,1
0,1,3,0,0,5866,6202,362,240,0,2,0
0,1,1,1,0,13956,2621,335,360,1,0,0
1,0,1,1,0,7818,4739,279,240,1,1,0
0,1,0,1,0,4222,5626,195,360,1,1,1
1,1,0,0,1,4792,6003,419,360,1,0,1
1,1,3,0,0,11889,2890,246,180,1,2,1
0,0,2,1,1,13654,3193,422,240,1,1,0
0,1,1,1,1,6063,2666,270,360,1,2,0
1,1,3,1,1,3524,6239,472,180,0,1,0
1,1,0,0,0,14952,3306,109,300,0,1,1
0,0,1,0,1,10224,897,147,180,1,1,1
1,1,2,1,1,8198,1085,220,180,0,1,0
0,0,0,1,1,6025,1279,431,360,1,2,0
1,0,0,1,0,4566,6704,222,120,0,2,0
0,0,0,1,0,4803,6491,200,120,1,2,1
0,0,3,1,1,14088,670,399,120,0,2,0
0,0,2,1,0,5709,1505,439,180,1,0,0
1,0,1,0,1,8155,6460,489,360,0,1,0
1,1,3,1,1,2719,3575,171,240,1,1,0
0,0,3,0,0,8516,4814,157,180,1,1,1
1,1,3,1,1,6579,5167,53,180,0,0,0
0,1,0,1,0,2972,1955,142,360,1,2,0
0,0,2,0,0,5718,5255,456,300,1,1,1
1,1,3,0,1,9395,249,55,180,1,2,1
1,1,1,0,0,6402,6457,337,300,1,2,1
0,1,2,0,0,6552,1892,155,300,1,0,1
1,1,1,1,1,4207,3439,195,120,1,0,1
1,0,2,0,1,6426,1853,320,360,1,2,1
0,1,1,1,0,8919,2854,473,300,0,1,0
0,0,0,0,0,14512,1503,427,360,1,1,1
1,1,3,1,1,13222,3385,145,120,1,0,1
0,1,1,1,0,13767,3571,278,360,1,0,0
0,0,2,1,0,13308,3792,251,180,0,0,0
1,1,3,1,0,13477,3426,261,300,1,0,0
0,1,3,1,0,10835,6628,55,360,1,0,1
0,1,2,1,0,14903,5330,161,240,1,0,1
1,0,1,0,0,10386,43,425,360,1,0,1
1,1,0,1,0,14188,3612,428,300,1,1,0
0,0,0,0,1,10680,2618,496,120,1,0,1
0,1,1,0,1,4204,4678,372,120,1,0,1
1,0,3,1,1,12849,3163,155,300,1,1,1
1,0,3,0,1,7345,1288,188,180,1,1,1
1,1,3,1,1,5276,2942,348,180,1,2,0
1,1,3,0,0,3102,219,450,120,0,0,0
0,0,1,1,0,7243,1925,145,120,0,0,0
1,0,3,0,0,8614,2972,437,300,1,0,1
1,1,2,1,0,11433,3513,496,180,1,0,0
0,0,3,1,1,10707,2448,386,120,1,2,0
1,1,0,1,0,7223,3471,346,180,1,1,0
0,1,3,1,0,10584,2774,438,120,0,1,0
1,1,1,0,1,2630,990,465,360,1,0,0
1,1,0,1,0,13908,2946,263,240,1,0,0
1,0,1,0,0,12039,1812,340,360,1,0,1
0,1,1,0,1,12847,4953,71,120,1,2,1
0,0,0,0,0,11171,803,242,240,0,2,1
1,1,1,1,0,14721,489,199,240,1,1,1
0,0,1,0,0,13594,3556,417,120,0,0,0
0,1,3,0,0,14063,5876,296,120,1,0,1
0,0,2,0,0,8683,1493,316,180,1,0,1
0,0,1,1,1,2277,3645,300,120,1,0,0
0,1,1,1,1,2232,2891,52,300,1,2,0
0,1,1,0,1,11744,1705,442,120,1,1,1
1,1,3,1,1,7690,3516,365,300,1,1,0
1,1,2,1,1,9659,3340,125,120,1,2,1
0,0,0,0,1,13462,6410,136,180,1,0,1
1,1,3,0,0,12601,53,319,300,1,1,1
1,0,3,1,1,13704,2575,274,360,0,1,0
1,0,2,0,1,2025,3591,67,300,1,2,1
1,1,2,1,0,9468,615,162,180,0,0,0
0,0,3,1,0,8410,5178,300,300,1,1,0
1,0,0,1,1,10652,5944,282,120,0,0,0
1,0,3,1,0,5764,954,378,120,1,1,0
0,0,2,1,1,8599,2433,328,180,1,2,0
0,1,0,1,0,13623,1629,251,240,1,0,0
1,1,2,0,1,7102,2781,132,120,1,2,1
1,1,0,0,0,9006,6859,174,360,1,1,1
1,1,1,1,0,5483,649,224,180,0,2,0
1,0,2,1,1,3994,2347,118,300,1,2,0
1,0,2,1,1,10682,4490,96,300,1,2,1
1,1,3,0,1,3072,3278,421,360,0,1,0
0,1,2,1,1,8707,5455,305,120,1,0,0
1,1,2,0,1,13365,2640,264,180,1,2,1
1,0,1,1,0,2215,3801,79,360,1,0,0
0,1,2,1,1,9605,2561,330,120,1,1,0
0,1,1,0,1,11915,3249,461,180,1,0,1
0,1,1,0,0,11784,6539,286,300,0,2,0
0,0,1,1,0,4606,370,297,180,0,2,0
1,0,1,1,1,10350,857,417,240,1,2,0
1,0,0,1,0,6781,4886,74,180,1,2,1
1,0,3,0,0,5313,4753,123,240,1,2,1
1,0,0,0,1,13033,6879,255,180,1,2,1
1,0,2,0,0,11968,5488,363,240,1,1,1
1,0,0,0,0,12244,383,143,300,1,1,1
0,0,0,0,1,9763,6205,424,120,0,1,0
1,1,2,0,1,7939,3877,176,240,1,0,1
0,1,2,1,0,4295,2552,474,240,1,0,0
0,0,2,1,0,7685,4334,74,300,1,1,1
1,0,0,0,1,3696,4290,383,240,0,0,0
0,1,0,1,0,13185,2725,404,360,1,0,0
1,0,2,1,0,12661,4034,165,300,1,2,1
0,0,3,0,0,3946,3293,97,360,1,2,1
1,0,3,1,1,14001,6204,275,300,0,0,0
0,1,1,0,0,4783,5248,315,240,1,0,1
1,1,2,0,0,5644,6828,148,360,1,1,1
1,1,1,1,1,7241,6111,60,240,1,0,1
1,1,3,0,0,8420,4251,134,300,0,2,1
1,1,1,0,0,12692,3988,454,240,1,0,1
1,0,2,0,1,9557,922,263,360,0,1,0
0,1,2,0,1,13837,2915,222,360,1,2,1
0,0,2,0,1,4645,2950,440,240,1,2,1
0,0,0,0,1,8589,5705,258,180,1,2,1
1,1,1,0,0,8353,3046,497,300,1,2,1
0,1,3,0,0,12541,974,431,300,0,0,0
1,0,3,1,1,3932,1230,113,240,1,1,0
1,0,3,1,1,13486,2435,307,180,1,0,0
0,0,0,1,0,3757,1814,381,360,1,0,0
0,1,0,0,1,7085,2934,170,120,1,2,1
1,1,2,0,0,7637,4933,347,120,1,1,1
0,1,3,1,1,3116,6103,103,240,1,2,0
1,1,0,1,0,12759,1363,380,180,0,0,0
1,1,2,1,1,13691,3940,321,180,1,0,0
1,0,3,0,1,2492,6483,290,300,1,2,0
1,1,1,1,0,13498,203,292,360,1,0,0
1,0,2,1,1,10811,160,67,180,1,0,1
0,0,0,0,0,13424,4487,236,120,1,2,1
0,0,0,1,0,9888,768,395,360,1,0,0
1,1,2,0,0,14015,3748,193,360,0,1,1
1,1,2,0,0,8474,6718,311,240,1,2,1
0,1,0,0,0,12572,2581,490,180,1,1,1
0,0,1,1,1,11738,1093,413,240,1,0,0
1,0,3,1,1,6958,4500,480,180,1,0,0
0,0,1,0,0,13755,607,288,300,1,2,1
1,0,2,1,1,11797,5710,353,240,1,0,0
0,0,1,1,0,13944,1540,347,240,1,2,0
1,0,0,1,1,14867,2875,125,120,0,2,0
0,1,2,1,1,12082,3191,237,240,1,2,1
1,1,3,0,1,11467,1837,382,180,1,2,1
0,1,0,1,1,4743,689,437,120,1,2,0
0,1,0,0,0,9866,3759,295,240,1,1,1
1,0,3,0,0,12685,2949,179,240,1,2,1
0,0,3,1,1,9160,5336,364,300,1,1,0
1,1,1,0,1,7451,2103,460,240,1,0,1
0,0,2,1,0,7258,365,332,360,0,2,0
1,1,3,1,1,10548,5818,128,120,1,0,1
0,1,3,0,0,9186,3575,121,360,1,2,1
1,1,2,0,0,8102,4550,312,120,1,1,1
0,0,3,0,0,11061,4199,240,300,1,1,1
1,1,3,0,1,11077,4172,416,240,1,1,1
0,1,1,1,0,12193,4325,424,240,1,0,0
1,1,0,1,1,11475,6033,479,240,1,2,0
1,0,0,1,0,2619,2378,112,120,0,0,0
1,0,0,0,1,2882,1205,429,240,1,1,0
0,1,0,0,1,10988,4988,61,360,1,0,1
1,0,3,0,1,5642,3839,190,240,1,1,1
0,0,2,1,0,13617,5669,303,300,1,1,0
1,0,2,0,0,3296,2735,92,360,1,1,1
0,0,1,1,1,14906,6170,66,240,1,2,1
1,0,1,0,1,10436,3347,112,240,1,2,1
0,0,3,1,1,4895,1675,302,180,1,1,0
0,0,2,1,0,8593,298,425,120,0,0,0
1,0,2,0,0,2929,956,341,360,1,0,0
0,0,0,0,0,7366,6942,57,180,1,2,1
0,0,3,1,0,10711,1114,374,300,1,1,0
1,1,3,1,1,5212,6623,139,120,1,0,1
0,1,0,0,1,4409,6716,257,360,1,1,1
0,0,3,0,0,10199,2505,341,240,1,0,1
0,1,3,1,0,12717,1474,333,360,0,2,0
1,1,1,0,1,5423,4460,167,240,1,1,1
0,0,2,1,0,12211,5794,398,120,1,1,0
1,0,3,1,0,14782,4446,224,240,1,0,1
0,0,1,0,0,8976,3726,125,300,0,0,1
0,1,2,0,0,9594,3471,150,240,0,0,1
0,1,0,0,0,7158,6396,463,300,1,1,1
1,0,1,0,0,14474,2828,200,120,1,2,1
0,0,1,0,1,5667,6000,449,120,1,2,1
0,0,2,1,0,13863,2850,319,360,1,0,0
1,1,0,1,0,12993,5107,120,300,1,2,1
0,1,1,0,1,7973,2506,229,300,1,0,1
1,1,3,0,1,8236,3770,173,180,1,2,1
1,1,3,0,1,10277,2964,430,180,1,1,1
0,0,3,1,0,13307,4594,342,180,1,0,0
1,0,0,0,1,14424,949,334,240,0,2,0
0,0,1,0,0,4468,6090,244,180,0,1,1
1,0,3,1,0,8217,6142,448,300,1,2,0
1,1,0,1,0,5619,4603,277,240,1,1,0
0,1,3,0,1,3636,5423,480,120,1,1,0
1,0,2,0,1,10155,6644,479,360,1,2,1
1,0,1,0,1,5583,2850,485,180,1,2,1
1,1,1,1,1,6009,6741,324,120,1,1,0
1,0,0,0,1,5326,165,155,300,1,1,1
1,1,0,0,0,12410,3486,70,360,1,1,1
0,0,1,0,0,10148,2509,113,120,1,0,1
1,0,3,1,0,4217,919,214,360,1,1,1
0,0,3,1,0,6967,113,76,180,1,0,1
1,0,2,0,1,4369,3504,360,300,1,1,1
0,0,3,0,1,5638,991,334,360,1,0,1
0,0,0,1,0,12695,6047,197,120,1,1,1
1,0,0,1,1,11135,6350,330,180,1,1,0
1,1,3,1,1,7722,3839,375,180,1,1,0
1,1,0,1,0,13029,1258,368,120,1,2,0
0,1,1,1,0,12852,3426,213,120,0,2,0
1,1,1,1,1,13128,514,435,360,1,1,0
0,1,3,1,1,6444,5327,455,240,1,0,0
0,0,1,1,0,9618,4804,273,180,0,0,0
0,0,1,1,0,5947,3196,321,360,0,1,0
